% []
@RELATION base

@ATTRIBUTE tot_changes_bugged NUMERIC
@ATTRIBUTE sum_insert_bugged NUMERIC
@ATTRIBUTE sum_delet_buggeds NUMERIC
@ATTRIBUTE count_insert_bugged NUMERIC
@ATTRIBUTE count_delets_bugged NUMERIC
@ATTRIBUTE avg_insert_bugged NUMERIC
@ATTRIBUTE avg_delets_bugged NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,607,2,1,1,607.0,2.0,607.0,2.0,valid
1,295,2,1,1,295.0,2.0,295.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,valid
3,723,66,3,3,241.0,22.0,241.0,22.0,valid
0,0,0,0,0,0,0,0,0,valid
5,2601,425,5,5,520.2,85.0,520.2,85.0,bugged
0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,valid
1,1197,2,1,1,1197.0,2.0,1197.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,1272,1630,2,2,636.0,815.0,636.0,815.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,427,2,1,1,427.0,2.0,427.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,28,8,2,2,14.0,4.0,14.0,4.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,331,2,1,1,331.0,2.0,331.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
1,2377,2,1,1,2377.0,2.0,2377.0,2.0,valid
4,1529,542,4,4,382.25,135.5,382.25,135.5,bugged
2,789,1131,2,2,394.5,565.5,394.5,565.5,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,bugged
4,325,120,4,4,81.25,30.0,81.25,30.0,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,211,2,1,1,211.0,2.0,211.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,587,2,1,1,587.0,2.0,587.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,343,2,1,1,343.0,2.0,343.0,2.0,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,valid
1,311,2,1,1,311.0,2.0,311.0,2.0,bugged
2,26,66,2,2,13.0,33.0,13.0,33.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,797,2,1,1,797.0,2.0,797.0,2.0,valid
1,502,2,1,1,502.0,2.0,502.0,2.0,valid
1,33,477,1,1,33.0,477.0,33.0,477.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,375,2,1,1,375.0,2.0,375.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
9,3208,739,9,9,356.444444444,82.1111111111,356.444444444,82.1111111111,bugged
1,437,2,1,1,437.0,2.0,437.0,2.0,valid
0,0,0,0,0,0,0,0,0,bugged
0,0,0,0,0,0,0,0,0,valid
1,527,2,1,1,527.0,2.0,527.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,1009,1364,2,2,504.5,682.0,504.5,682.0,valid
0,0,0,0,0,0,0,0,0,valid
1,3947,2,1,1,3947.0,2.0,3947.0,2.0,valid
0,0,0,0,0,0,0,0,0,bugged
1,16,2,1,1,16.0,2.0,16.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
1,852,2,1,1,852.0,2.0,852.0,2.0,valid
2,100,4,2,2,50.0,2.0,50.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,203,2,1,1,203.0,2.0,203.0,2.0,valid
1,702,2,1,1,702.0,2.0,702.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,12,4,1,1,12.0,4.0,12.0,4.0,valid
1,16,16,1,1,16.0,16.0,16.0,16.0,bugged
2,375,10,2,2,187.5,5.0,187.5,5.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,1922,2,1,1,1922.0,2.0,1922.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,4892,32,2,2,2446.0,16.0,2446.0,16.0,valid
0,0,0,0,0,0,0,0,0,valid
2,532,4,2,2,266.0,2.0,266.0,2.0,valid
1,203,2,1,1,203.0,2.0,203.0,2.0,valid
1,912,2,1,1,912.0,2.0,912.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
5,174,198,5,5,34.8,39.6,34.8,39.6,valid
0,0,0,0,0,0,0,0,0,valid
1,239,2,1,1,239.0,2.0,239.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
2,62,20,2,2,31.0,10.0,31.0,10.0,valid
2,10,10,2,2,5.0,5.0,5.0,5.0,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,487,2,1,1,487.0,2.0,487.0,2.0,valid
6,542,681,6,6,90.3333333333,113.5,90.3333333333,113.5,bugged
1,52,2,1,1,52.0,2.0,52.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
1,16,2,1,1,16.0,2.0,16.0,2.0,valid
1,457,2,1,1,457.0,2.0,457.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,valid
0,0,0,0,0,0,0,0,0,valid
1,672,2,1,1,672.0,2.0,672.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,357,247,2,2,178.5,123.5,178.5,123.5,valid
0,0,0,0,0,0,0,0,0,valid
1,267,2,1,1,267.0,2.0,267.0,2.0,valid
0,0,0,0,0,0,0,0,0,valid
1,2242,2,1,1,2242.0,2.0,2242.0,2.0,valid
1,11109,2,1,1,11109.0,2.0,11109.0,2.0,valid
5,370,146,5,5,74.0,29.2,74.0,29.2,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
4,1187,744,4,4,296.75,186.0,296.75,186.0,valid
11,1686,873,11,11,153.272727273,79.3636363636,153.272727273,79.3636363636,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
11,2269,2233,11,11,206.272727273,203.0,206.272727273,203.0,bugged
0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,valid
2,263,30,2,2,131.5,15.0,131.5,15.0,valid
10,3857,563,10,10,385.7,56.3,385.7,56.3,bugged
0,0,0,0,0,0,0,0,0,valid
% 
% 
% 
